"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Weirton-Steubenville, WV-OH","48260",2020,91,75,16,0,0,0,0,77,58,34,0,0,19,0,72,0
"Wenatchee, WA","48300",2020,31,27,4,0,0,0,0,55,51,35,0,0,0,0,31,0
"Wheeling, WV-OH","48540",2020,91,88,3,0,0,0,0,61,28,15,0,74,0,0,17,0
"Williston, ND","48780",2020,91,91,0,0,0,0,0,14,4,1,0,0,0,91,0,0
"Wilmington, NC","48900",2020,56,55,1,0,0,0,0,66,31,17,0,0,0,0,56,0
"Wilmington, OH","48940",2020,31,31,0,0,0,0,0,44,42,33,0,0,31,0,0,0
"Winchester, VA-WV","49020",2020,23,21,2,0,0,0,0,58,49,21,0,0,0,0,20,3
"Winston-Salem, NC","49180",2020,39,35,4,0,0,0,0,56,51,23,0,0,0,0,39,0
"Worcester, MA-CT","49340",2020,61,48,13,0,0,0,0,63,55,38,1,3,25,0,32,0
"Yakima, WA","49420",2020,31,18,13,0,0,0,0,90,75,46,0,0,0,0,30,1
"Youngstown-Warren-Boardman, OH-PA","49660",2020,60,55,5,0,0,0,0,67,50,34,0,0,35,0,25,0
"Yuba City, CA","49700",2020,52,31,21,0,0,0,0,95,82,45,0,0,0,0,52,0
"Yuma, AZ","49740",2020,91,87,4,0,0,0,0,94,49,40,0,0,70,0,12,9
