"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/29/2017","AQS","360050110","1","0.029","ppm","27","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"05/30/2017","AQS","360050110","1","0.024","ppm","22","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"05/31/2017","AQS","360050110","1","0.032","ppm","30","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/01/2017","AQS","360050110","1","0.053","ppm","49","IS 52","14","82.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/02/2017","AQS","360050110","1","0.045","ppm","42","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/03/2017","AQS","360050110","1","0.037","ppm","34","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/04/2017","AQS","360050110","1","0.031","ppm","29","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/05/2017","AQS","360050110","1","0.029","ppm","27","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/06/2017","AQS","360050110","1","0.019","ppm","18","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/07/2017","AQS","360050110","1","0.039","ppm","36","IS 52","14","82.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/08/2017","AQS","360050110","1","0.032","ppm","30","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/09/2017","AQS","360050110","1","0.045","ppm","42","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/10/2017","AQS","360050110","1","0.066","ppm","87","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/11/2017","AQS","360050110","1","0.064","ppm","80","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/12/2017","AQS","360050110","1","0.078","ppm","126","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/13/2017","AQS","360050110","1","0.07","ppm","100","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/14/2017","AQS","360050110","1","0.051","ppm","47","IS 52","14","82.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/15/2017","AQS","360050110","1","0.033","ppm","31","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/16/2017","AQS","360050110","1","0.021","ppm","19","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/17/2017","AQS","360050110","1","0.022","ppm","20","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/18/2017","AQS","360050110","1","0.028","ppm","26","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/19/2017","AQS","360050110","1","0.019","ppm","18","IS 52","13","76.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/20/2017","AQS","360050110","1","0.054","ppm","50","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/21/2017","AQS","360050110","1","0.058","ppm","61","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/22/2017","AQS","360050110","1","0.056","ppm","54","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/23/2017","AQS","360050110","1","0.026","ppm","24","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/24/2017","AQS","360050110","1","0.043","ppm","40","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/25/2017","AQS","360050110","1","0.051","ppm","47","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/26/2017","AQS","360050110","1","0.049","ppm","45","IS 52","13","76.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/27/2017","AQS","360050110","1","0.046","ppm","43","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/28/2017","AQS","360050110","1","0.039","ppm","36","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/29/2017","AQS","360050110","1","0.046","ppm","43","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"06/30/2017","AQS","360050110","1","0.06","ppm","67","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/01/2017","AQS","360050110","1","0.024","ppm","22","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/02/2017","AQS","360050110","1","0.053","ppm","49","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/03/2017","AQS","360050110","1","0.055","ppm","51","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/04/2017","AQS","360050110","1","0.053","ppm","49","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/05/2017","AQS","360050110","1","0.045","ppm","42","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/06/2017","AQS","360050110","1","0.022","ppm","20","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
"07/07/2017","AQS","360050110","1","0.034","ppm","31","IS 52","17","100.0000","44201","Ozone","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.816","-73.902"
